name,id,office,state,district,party,incumbent,receipts,disbursement,cash.on.hand,debt.owed,end.date,start.date
"CUMMINGS, ELIJAH E",H6MD07160,H,MD,7,DEM,INCUMBENT,944365.35,1051584.48,847733.69,0,10/17/18,1/1/17
"BROWN, ALVIN",H8FL05140,H,FL,5,DEM,CHALLENGER,450694.05,447395.51,3298.54,0,9/30/18,1/1/18
"ANGLE, SHARRON E",H6NV02172,H,NV,2,REP,CHALLENGER,52390.03,34936.59,17568.45,0,9/30/18,10/1/17
"SHIMKUS, JOHN M",H2IL20042,H,IL,15,REP,INCUMBENT,1890067.19,1567978.53,1158378.38,0,10/17/18,1/1/17
"DAUGHERTY, RICHARD D",H2PA15099,H,PA,7,DEM,OPEN,3926,4705.16,64.36,0,9/30/18,1/1/17
"BROWN, LINDSAY CHRISTINE MRS.",H8NJ07207,H,NJ,7,REP,CHALLENGER,4365.06,7357.5,-2992.44,0,10/19/18,2/18/17
"SANBORN, ANDY",H8NH01160,H,NH,1,REP,OPEN,888179.67,832440.27,55739.4,314610.47,9/30/18,4/1/17
"ARAUJO, HECTOR MR.",H8AZ09065,H,AZ,9,DEM,OPEN,3580,1849,1731,0,9/30/18,4/1/18
"COBB, ALAN EARL",H8KS04161,H,KS,4,REP,OPEN,150369.61,150369.61,0,0,9/30/17,1/1/17
"HAGGMAN, MATTHEW W",H8FL27136,H,FL,27,DEM,OPEN,1445770.45,1312414.93,133355.52,1291.17,9/30/18,7/1/17
"SWANSON, ELINOR",H8MT01257,H,MT,0,LIB,CHALLENGER,12761.69,4023.32,14817.43,15077.83,9/30/18,4/1/18
"ROMLEY, KEN",H8NC02094,H,NC,2,DEM,CHALLENGER,655818.16,644897.7,10920.46,395e3,9/30/18,7/1/17
"MERCADO, JUAN",H6CA51082,H,CA,51,NNE,CHALLENGER,20004.62,19760.59,1e3,0,6/30/18,1/1/17
"WEBER, LINDA",H8NJ07173,H,NJ,7,DEM,CHALLENGER,387134.63,368705.46,18429.17,0,9/30/18,4/1/17
"SALMON, SCOTT",H8NJ07181,H,NJ,7,DEM,CHALLENGER,95501.4,59653.96,-3978.92,0,9/30/18,4/1/17
"MANDELBLATT, LISA",H8NJ07199,H,NJ,7,DEM,CHALLENGER,696811.72,632949.42,63862.3,1e5,9/30/18,4/1/17
"JOIS, GOUTAM UMESH MR.",H8NJ07215,H,NJ,7,DEM,CHALLENGER,409834.08,410120.04,1180.71,17500,9/30/18,7/1/17
"BIGGAN, JOHN",H8TX24111,H,TX,24,DEM,CHALLENGER,86564.64,86564.64,0,0,6/30/18,10/1/17
"SEDILLO LOPEZ, ANTOINETTE",H8NM01323,H,NM,1,DEM,OPEN,1066521.17,1063939.86,2581.31,22e4,9/30/18,4/1/17
"VALENCIA, PEDRO",H8TX29060,H,TX,29,DEM,OPEN,5598.35,5566.46,31.89,1458.47,6/30/18,10/1/17
"SHEIN, DIMITRI",H8AK00132,H,AK,0,DEM,CHALLENGER,208733.34,95843.54,112889.8,114014.43,9/30/18,4/1/17
"WINFREY, ADIA MCCLELLAN DR",H8AL03062,H,AL,3,DEM,CHALLENGER,14535.25,9755.75,204.19,0,9/30/18,2/6/18
"KAPLE, BOBBY",H8GA06369,H,GA,6,DEM,CHALLENGER,693572.44,685055.95,9166,221163.14,9/30/18,9/28/17
"SAWDY, STEVEN",H8AZ08208,H,AZ,8,REP,OPEN,1e3,395,574,0,10/15/18,1/1/18
"PERKINS, JO RAE",H6OR04203,H,OR,4,REP,CHALLENGER,14868.29,11236.17,3567.12,5234.3,9/30/18,1/1/17
"GASQUE, DOROTHY",H8WA03172,H,WA,3,DEM,CHALLENGER,88996.73,45068.63,22533.15,0,7/18/18,1/1/17
"BATTISTA, LISA",H8CA10134,H,CA,10,DEM,CHALLENGER,7028.37,1840.64,5187.73,524.79,6/30/17,4/1/17
"HARRISON, THOMAS S IV",H8OR03102,H,OR,3,REP,CHALLENGER,770,184.2,585.8,0,10/17/18,7/1/18
"MURPHY, LES",H8SC05216,H,SC,5,DEM,OPEN,8960,3824.17,5135.83,0,4/12/17,1/1/17
"DEAN, MADELEINE",H8PA04116,H,PA,4,DEM,CHALLENGER,1267720.48,1137707.04,130013.44,226e3,10/17/18,1/1/18
"THOMPSON, GLENN",H8PA05071,H,PA,15,REP,INCUMBENT,1237108.55,1310999.89,210160.45,0,10/17/18,1/1/17
"HOULAHAN, CHRISSY",H8PA06087,H,PA,6,DEM,OPEN,4038052.11,2368220.03,1669832.08,5e4,10/17/18,3/21/17
"BROWN, CHRISTINE CAROL",H8WA04089,H,WA,4,DEM,CHALLENGER,443777.97,388954.35,54823.62,0,10/17/18,6/5/17
"BROWN, LISA",H8WA05193,H,WA,5,DEM,CHALLENGER,5296502.34,4635807.53,660694.81,0,10/17/18,7/1/17
"MOSS, LYNDA BOURQUE",H8MT01224,H,MT,0,DEM,CHALLENGER,108405.85,108405.85,0,5954.42,6/30/18,10/1/17
"TIEGEL, MARC",H8NC08117,H,NC,8,DEM,CHALLENGER,52578.08,52379.68,198.4,24500,9/30/18,1/1/18
"WARREN, MARIA COLLINS",H8NC09115,H,NC,9,DEM,CHALLENGER,2150.97,1842.64,281.7,0,9/30/18,2/1/17
"HOPKINS, WILLIAM E. JR.",H8SC07055,H,SC,7,DEM,CHALLENGER,113130,111651.72,1478.28,4050,6/30/18,2/1/18
"CHIN, DOUG",H8HI01200,H,HI,1,DEM,OPEN,598230.6,596060.94,2169.66,0,9/30/18,10/1/17
"MAURO, EDDIE J.",H8IA03181,H,IA,3,DEM,CHALLENGER,793982.45,766137.34,27845.11,66179.39,9/30/18,7/1/17
"ORTITAY, JASON A",H8PA18249,H,PA,18,REP,OPEN,1545,1545,0,0,1/7/18,10/30/17
"LOUGH, STEPHEN HARRISON",H8SC05257,H,SC,5,DEM,CHALLENGER,15022.36,10187.33,5655.84,613.69,6/30/18,1/1/18
"BURNS, ROBERT ANDREW",H8NH02309,H,NH,2,REP,CHALLENGER,39186.5,39056.32,130.18,12e3,9/30/18,3/1/16
"CAIOZZO, SALVATORE",H6RI02284,H,RI,2,REP,CHALLENGER,4960,3525.33,1371,1e3,9/30/18,4/1/18
"STOTTS-PEARSON, ERIKA",H6TN08250,H,TN,8,DEM,CHALLENGER,4637.15,3319.56,1317.59,0,9/30/18,7/1/18
"KEITH, PAM",H8FL18010,H,FL,18,DEM,CHALLENGER,585449.58,559589.9,25859.68,9e4,9/30/18,3/13/17
"FANDL, JEFF",H8FL22087,H,FL,22,DEM,CHALLENGER,19863.68,16547.22,3316.46,19800,9/30/18,4/1/18
"SCHNEIDER, JAN",H2FL13139,H,FL,16,DEM,CHALLENGER,81860.22,37637.14,60788.83,141616,9/30/18,1/1/17
"TOYOS, ROLANDO",S8TN00360,S,TN,0,REP,OPEN,47512,47512,0,0,6/20/18,10/1/17
"MANTANONA, NICHOLAS BRENT MR.",H6TN09431,H,TN,9,IND,CHALLENGER,3500,3500,0,0,6/30/17,4/1/17
"SPENCER, PAUL JOHN MR.",H8AR02134,H,AR,2,DEM,CHALLENGER,267832.94,267002.89,830.05,0,9/30/18,4/1/17
"HAHN, PATRICK JOHN",S8NY00199,S,NY,0,REP,CHALLENGER,5e3,4559,4441,0,12/31/17,10/17/17
"SACCONE, RICK",S8PA00239,S,PA,0,REP,CHALLENGER,51207,73263,0,0,1/10/18,1/1/17
"BARTOS, JEFFREY A",S8PA00262,S,PA,0,REP,CHALLENGER,1312822,1312822,0,0,12/31/17,4/12/17
"BUNKEDDEKO, ADEM",H8NY09158,H,NY,9,DEM,CHALLENGER,277940,301807.44,-16989.43,-500,9/30/18,1/1/17
"FAWELL, WILLIAM W",H4IL17077,H,IL,17,REP,CHALLENGER,27167,23996,1812,1e4,9/30/18,9/1/17
"HANSON, CYNDI",H8IA04148,H,IA,4,REP,CHALLENGER,34423,31942,2480,29706,9/30/18,11/20/17
"KLEINMAN, NATHAN I",H8NJ02257,H,NJ,2,DEM,OPEN,94927,94594.11,332.89,0,9/30/18,4/1/18
"KEADY, JAMES",H8NJ04162,H,NJ,4,DEM,CHALLENGER,292908.73,286997.72,7050.04,14e3,9/30/18,1/1/17
"NORRIS, PHILLIP",H8AL04060,H,AL,4,REP,CHALLENGER,100,100,0,0,3/8/18,1/1/17
"HEINZ, MATTHEW GERALD",H8AZ02136,H,AZ,2,DEM,OPEN,1013517.34,1013017.34,500,311547.56,9/30/18,4/1/17
"STURM, SCOTT 1974",H8TX17123,H,TX,17,DEM,CHALLENGER,95,0,95,0,6/30/17,4/1/17
"BLACK, THEREASA MARIE",H8MD04213,H,MD,4,DEM,CHALLENGER,5844.02,5844.02,0,0,3/7/18,4/1/17
"BERSHAD, IRA MR.",H8TX26074,H,TX,26,DEM,CHALLENGER,11252.02,11197.48,53.64,0,7/11/17,4/1/17
"SMITH, CARLTON ELLIOTT",H8MS01152,H,MS,1,DEM,CHALLENGER,57901.57,43518.08,-1864,0,9/30/18,7/1/17
"HICKS, TOM",H8VA01287,H,VA,1,DEM,CHALLENGER,49180.19,49180.19,0,0,6/30/18,7/1/17
"CLARK, MIKE",H6TX31045,H,TX,31,DEM,CHALLENGER,17198.31,17649.61,631.17,5e3,9/30/18,1/1/17
"RODRIGUEZ, JOSE JAVIER",H8FL27052,H,FL,27,DEM,OPEN,730743.08,545623.76,185119.32,0,9/30/18,6/21/17
"MATERNOWSKI, TODD",H8TX32114,H,TX,32,DEM,CHALLENGER,5731,5709.42,-102.36,0,3/7/18,4/1/17
"MARTIN, BRANDON RAY",H8AZ02201,H,AZ,2,REP,OPEN,39591.89,39551.89,40,0,9/30/18,1/1/18
"YUKSEL, YAHYA",H8AZ02235,H,AZ,2,DEM,OPEN,52426.93,51567.76,-1580.27,500,9/30/18,2/23/18
"KIM, DAVID",H8GA07151,H,GA,7,DEM,CHALLENGER,1499900.68,1493127.9,6822.78,736100,9/30/18,4/1/17
"HANSON, BEN",H8ND01029,H,ND,0,DEM,OPEN,160779.49,160779.49,0,0,10/14/18,7/1/17
"SWANSON, VICTOR",H8IL14141,H,IL,14,DEM,CHALLENGER,80409.88,80409.88,0,0,6/30/18,4/1/17
"PORTER, EDDIE RAY",H8OK05091,H,OK,5,DEM,CHALLENGER,19905,19905,0,0,6/30/18,4/1/17
"BARRERA, RAUL (ROY)",H6TX27092,H,TX,27,DEM,OPEN,12296.18,10202.04,4800.49,-765,8/21/18,1/1/17
"MAYS, MARION DOUGLAS",H8KS02231,H,KS,2,REP,OPEN,153164.7,153164.7,0,0,8/21/18,5/10/18
"FREITAS, NICHOLAS JASON",S8VA00313,S,VA,0,REP,CHALLENGER,605406.27,605405.96,0,0,9/30/18,11/22/17
"GIBSON, JOSEPH",S8WA00244,S,WA,0,REP,CHALLENGER,10788,8876,1862,0,10/11/18,2/25/18
"CHAUNCEY, SHELLY WILSON",H8PA07168,H,PA,5,DEM,OPEN,27852.48,28631.13,-778.65,3500,9/30/18,1/1/18
"DONAHUE, ALICIA",H8MN03135,H,MN,3,DFL,CHALLENGER,1771.25,1590.11,181.14,0,9/30/17,4/1/17
"LETT, CRYSTAL LYNN",H8OH12230,H,OH,12,DEM,CHALLENGER,2770,2770,0,0,7/16/18,1/1/18
"DAS, MONA",H8WA08155,H,WA,8,DEM,OPEN,91647.69,91647.69,0,0,2/28/18,7/1/17
"TACHE, LYNDA",H8NV03176,H,NV,3,REP,OPEN,51459.35,51459.35,0,0,12/8/17,7/1/17
"WILLIAMS, MARK JOAQUIN MR.",H8CO02202,H,CO,2,DEM,OPEN,93203.09,93203.09,0,0,9/30/18,7/1/17
"CRAWFORD, DENNIS P",H4NE01163,H,NE,1,DEM,CHALLENGER,23066,22958,105,0,6/30/18,4/1/17
"GOODMAN, SHIRA MS.",H8PA13117,H,PA,4,DEM,CHALLENGER,303110.16,302711.91,398.25,0,7/1/18,1/1/18
"PHOENIX, JESS",H8CA25082,H,CA,25,DEM,CHALLENGER,494699.55,488532.44,6167.11,0,9/30/18,4/1/17
"BROLLEY, MATT",H8IL14166,H,IL,14,DEM,CHALLENGER,167808.12,166726.12,865.3,0,9/30/18,6/24/17
"FEIGL-DING, ERIC",H8PA10204,H,PA,10,DEM,CHALLENGER,304647.37,303357.94,1289.43,67200,9/30/18,2/22/18
"BILLUPS, WILLIE KAILAWN",H8TX33021,H,TX,33,REP,CHALLENGER,53421.06,48846.52,4574.54,2800,9/30/18,10/6/17
"COPPOLA, SERGIO MR. II",H8VA06088,H,VA,6,DEM,OPEN,5425.97,5425.97,0,0,6/18/18,10/1/17
"EMIG, ZACH",H8NY11071,H,NY,11,DEM,CHALLENGER,49985.9,49985.9,0,0,6/30/18,3/22/17
"BOYCE, HENRY CHARLES  'CHUCK'  JR",S8DE00103,S,DE,0,REP,CHALLENGER,381647,380433.39,-2656.39,0,9/30/18,1/13/17
"HARRIS, KERRI EVELYN",S8DE00137,S,DE,0,DEM,CHALLENGER,179522.56,164199.66,15323.18,0,9/30/18,1/1/18
"THERRIEN, DAVID",H6MD04282,H,MD,4,REP,CHALLENGER,19458.15,7497.74,11960.41,14943.15,12/31/17,10/3/17
"EDWARDS, GREG",H8PA15187,H,PA,7,DEM,OPEN,451611.06,425264.21,52114.43,0,9/30/18,7/1/17
"SAREGA, ANDREW",H8CA39216,H,CA,39,REP,OPEN,35835,35835,0,35e3,5/21/18,1/1/18
"KINGSTON, JOHN MR",S8MA00318,S,MA,0,REP,CHALLENGER,6587763.89,6515850.84,71913.21,5358334.95,9/30/18,7/1/17
"JAVED, MUHAMMAD TAHIR",H8TX29086,H,TX,29,DEM,OPEN,1834178.33,1822707.52,11470.81,325527.5,9/30/18,12/6/17
"WOODY, MATT",H8CA42236,H,CA,42,NNE,CHALLENGER,46461,44346.28,2114.72,39116.26,6/30/18,4/1/17
"SALERNO, LILLIAN",H8TX32148,H,TX,32,DEM,CHALLENGER,698945.72,696779.57,2166.15,0,9/30/18,7/1/17
"JHINGAN, VANDANA",H8IL08119,H,IL,8,REP,CHALLENGER,73700,73700,0,0,3/31/18,10/1/17
"DECILLIS, ALFRED MICHAEL",H8NY11097,H,NY,11,DEM,CHALLENGER,18421.4,24630.86,-6209.46,0,12/31/17,7/1/17
"TANNAHILL, TYLER NATHAN",H8KS02215,H,KS,2,REP,OPEN,77818.5,77818.5,0,0,5/23/18,1/1/18
"SHERZAN, MICHAEL THOMAS",H4IA03057,H,IA,3,DEM,CHALLENGER,60712.29,60712.29,0,0,6/30/17,1/1/17
"CHRISTINA, PREJEAN",H8CA49116,H,CA,49,DEM,OPEN,37554.46,37554.46,0,0,6/30/18,1/1/18
"CHATLOS, ROBERT",H8IN09115,H,IN,9,DEM,CHALLENGER,3015,2800,215,0,4/18/18,5/4/17
"MIRANDA, CATHERINE",H8AZ07044,H,AZ,7,DEM,CHALLENGER,31240.97,28683.66,2557.31,3542.31,8/8/18,7/1/17
"BARASH, YONA",H8CA07072,H,CA,7,REP,CHALLENGER,321947.52,321947.52,0,0,8/23/18,1/1/17
"STANKEVICH, NICHOLAS RICHARD MR.",H8NY27143,H,NY,27,DEM,OPEN,96061.2,97561.2,0,0,10/7/18,1/1/17
"JONES, THEODORE",H8OH08071,H,OH,8,DEM,CHALLENGER,5352,4046.8,1305,NA,9/26/18,12/31/17
"MILLS, JOHN",H6FL01143,H,FL,1,REP,CHALLENGER,31914.22,31564.22,498.13,38063.53,9/30/18,1/1/17
"ROHRS, BRADLEY STEPHEN",H8MD06226,H,MD,6,REP,OPEN,9995,7116.7,2878.3,2300,6/30/18,1/1/18
"BENTLEY, ROBERT",H8CA36196,H,CA,36,REP,CHALLENGER,110,50,60,0,12/31/17,10/1/17
"DUENAS, ANGELICA",H8CA29100,H,CA,29,GRE,CHALLENGER,7468.4,7482.58,-14.18,0,6/14/18,6/11/17
"COX, STEPHAN",H8CA39190,H,CA,39,NNE,OPEN,6125.65,6062.72,16.93,0,7/18/18,7/1/17
"CUMMINGS, DAVE",H8FL18036,H,FL,18,REP,CHALLENGER,23262,17709.54,5552.46,0,6/30/18,4/15/18
"DIMASI, ELAINE DR. PHD",H8NY01189,H,NY,1,DEM,CHALLENGER,104203.6,100540.89,3662.71,71.68,6/30/18,7/1/17
"HARDY, CHARLES E",S4WY00097,S,WY,0,REP,CHALLENGER,8633,8475,156,1843,9/30/18,5/11/18
"KIM, DONNA MERCADO",H4HI01167,H,HI,1,DEM,OPEN,721399.31,716253.8,5142.51,200,9/30/18,10/1/17
"MCCONNELL, JOSEPH",H8KS03080,H,KS,3,DEM,CHALLENGER,36182.63,36182.63,0,0,7/12/17,4/1/17
"MADUENO, VIRGINIA",H8CA10175,H,CA,10,DEM,CHALLENGER,355454.26,355445.1,9.16,1e4,9/30/18,7/1/17
"TAGER, ROBERT MATTHEW",H6FL12181,H,FL,12,DEM,CHALLENGER,33037,30269.78,5486,48e3,8/8/18,1/1/17
"HAMADANCHY, KIA",H8CA45155,H,CA,45,DEM,CHALLENGER,655052.65,655052.65,0,0,8/24/18,4/1/17
"SVOBODA, STEVE",H8NE01099,H,NE,1,DEM,CHALLENGER,24697,24697,0,0,6/1/18,4/23/18
